domain, # candidates using this domain
shopifycdn.com,1
shopify.com,2
shopifysvc.com,2
shop.app,1
shopifycloud.com,1
statcounter.com,1
juicer.io,1
ajax.googleapis.com,2
fontawesome.com,2
google.ca,2
jsdelivr.net,1
cloudflare.com,3
embedly.com,3
d3n8a8pro7vhmx.cloudfront.net,4
twitter.com,4
wp.com,2
gravatar.com,2
wordpress.com,2
parastorage.com,2
wix.com,2
googletagmanager.com,6
facebook.com,7
youtube.com,8
doubleclick.net,8
facebook.net,8
google.com,10
gstatic.com,14
fonts.googleapis.com,14
translate.googleapis.com,1
squarespace.com,2
typekit.net,2
google-analytics.com,10
wsimg.com,2
